"Prefix","Country"
"4484490","United Kingdom"
"4484491","United Kingdom"
"4484492","United Kingdom"
"4484493","United Kingdom"
"4484494","United Kingdom"
"4484495","United Kingdom"
"4484496","United Kingdom"
"4484497","United Kingdom"
"4484498","United Kingdom"
"4484499","United Kingdom"
"4812688","Poland"
"4822188","Poland"
"4822765","Poland"
"4842206","Poland"
"4845920","Poland"
"4845950","Poland"
"4852880","Poland"
"4857942","Poland"
"4857946","Poland"
"4857948","Poland"
"4857953","Poland"
"4858535","Poland"
"4858670","Poland"
"4861423","Poland"
"4871862","Poland"
"4873993","Poland"
"4881450","Poland"
"5632210","Chile"
"5632255","Chile"
"5645197","Chile"
"8835100","International National Rate Service"
"8835110","International National Rate Service"
"8835130","International National Rate Service"
