"Prefix","Country"
"447589","United Kingdom"
"447600","United Kingdom"
"447624","United Kingdom"
"447640","United Kingdom"
"447677","United Kingdom"
"447700","United Kingdom"
"447744","United Kingdom"
"447755","United Kingdom"
"447781","United Kingdom"
"447797","United Kingdom"
"447822","United Kingdom"
"447829","United Kingdom"
"447839","United Kingdom"
"447872","United Kingdom"
"447893","United Kingdom"
"447911","United Kingdom"
"447924","United Kingdom"
"447978","United Kingdom"
"447991","United Kingdom"
"447992","United Kingdom"
"447993","United Kingdom"
"447994","United Kingdom"
"447995","United Kingdom"
"447996","United Kingdom"
"447997","United Kingdom"
"447998","United Kingdom"
"448440","United Kingdom"
"449006","United Kingdom"
"449016","United Kingdom"
"449018","United Kingdom"
"449056","United Kingdom"
"449058","United Kingdom"
"449066","United Kingdom"
"449067","United Kingdom"
"449071","United Kingdom"
"449076","United Kingdom"
"471881","Norway"
"471882","Norway"
"484591","Poland"
"964821","Iraq"
"964822","Iraq"
"971529","United Arab Emirates"
"1767502","Dominica"
"2217655","Senegal"
"2217667","Senegal"
"2272039","Niger"
"2313323","Liberia"
"2313325","Liberia"
"2739814","South Africa"
"2744814","South Africa"
"2787901","South Africa"
"3375553","France"
"3375554","France"
"3595693","Bulgaria"
"3723302","Estonia"
"3725845","Estonia"
"3729008","Estonia"
"4011893","Romania"
"4472707","United Kingdom"
"4473780","United Kingdom"
"4473896","United Kingdom"
"4474408","United Kingdom"
"4474409","United Kingdom"
"4474880","United Kingdom"
"4474881","United Kingdom"
"4474886","United Kingdom"
"4474888","United Kingdom"
"4475329","United Kingdom"
"4476242","Isle of Man"
"4476245","United Kingdom"
"4476693","United Kingdom"
"4476696","United Kingdom"
"4477000","United Kingdom"
"4477530","United Kingdom"
"4478722","United Kingdom"
"4478727","United Kingdom"
"4478730","United Kingdom"
"4478744","United Kingdom"
"4478920","United Kingdom"
"4478921","United Kingdom"
"4478925","United Kingdom"
"4478939","United Kingdom"
"4479112","United Kingdom"
"4479118","United Kingdom"
"4479974","United Kingdom"
